generic_name,dosage_form_raw,dosage_form_normalized,route,source_file,source_page,device_category,technique_category,exact_device_name,verification_status,notes,action,review_status,resolved_device_class,review_notes
Formoterol,6 mcg in combination with 100 beclomethasone dipropionate,6_mcg_in_combination_with_100_beclomethasone_dipropionate,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
Formoterol,5 mcg in combination with fluticasone propionate 50 mcg,5_mcg_in_combination_with_fluticasone_propionate_50_mcg,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
Formoterol,5 mcg in combination with fluticasone propionate 100 mcg,5_mcg_in_combination_with_fluticasone_propionate_100_mcg,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
Formoterol,10 mcg in combination with fluticasone propionate 250 mcg Oral Inhalation,inhalation,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
Formoterol,5 mcg formoterol fumarate dihydrate micronized + 4.5 mcg formoterol fumarate in,5_mcg_formoterol_fumarate_dihydrate_micronized_4_5_mcg_formoterol_fumarate_in,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
Formoterol,combination with 160 mcg budesonide + 9 mcg glycopyrroium bromide,combination_with,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
Salbutamol,2 mg/5 ml,2_mg_5_ml,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Oral syrup/liquid.
Salbutamol,2 mg + 50 mg guaifenesin /5ml,2_mg_50_mg_guaifenesin_5ml,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Oral syrup/liquid.
Salbutamol,2 mg + 100 mg ammonium chloride /5ml,2_mg_100_mg_ammonium_chloride_5ml,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Oral syrup/liquid.
Salbutamol,"5 mg/ml, 2.5 mg/2.5ml, 5 mg/2.5ml",5_mg_ml_2_5_mg_2_5ml_5_mg_2_5ml,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,nebulizer_technique,nebulizer,Inhalation solution/respule; use generic nebulizer technique.
Salbutamol,2.5 mg + 0.5 mg ipratropium bromide /2.5ml,2_5_mg_0_5_mg_ipratropium_bromide_2_5ml,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,nebulizer_technique,nebulizer,Inhalation solution/respule; use generic nebulizer technique.
Salbutamol,1 mg + 0.2 mg ipratropium bromide / 1 ml,1_mg_0_2_mg_ipratropium_bromide_1_ml,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,nebulizer_technique,nebulizer,Inhalation solution/respule; use generic nebulizer technique.
Salbutamol,Oral dry powder inhalation: 200 mcg/dose Oral metered dose inhaler,inhalation_powder,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,dpi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,DPI,Exact commercial DPI must be identified before mapping a device-specific video.
Salbutamol,0.1 mg/dose,0_1_mg_dose,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,generic_pmdi,pMDI,Listed under oral metered-dose inhaler in the EDA formulary.
Salbutamol,0.1 mg + 0.02 mg ipratropium chloride/dose,0_1_mg_0_02_mg_ipratropium_chloride_dose,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,generic_pmdi,pMDI,Listed under oral metered-dose inhaler in the EDA formulary.
Salbutamol,0.1 mg + 0.05 mg beclomethasone dipropionate /dose,0_1_mg_0_05_mg_beclomethasone_dipropionate_dose,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,generic_pmdi,pMDI,Listed under oral metered-dose inhaler in the EDA formulary.
Salbutamol,Parenteral SC/IM/IV: 0.5 mg/ml,parenteral_sc_im_iv,"Oral, Oral Inhalation, Parenteral",egypt_antiretroviral_formulary_2026.pdf,48,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Parenteral injection.
Beclomethasone Dipropionate,"Oral inhalation aerosol: 50 micrograms, 100 mcg per actuation",inhalation_aerosol,"Nasal, oral spray, topical",egypt_antiretroviral_formulary_2026.pdf,69,inhaler,pmdi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,generic_pmdi,pMDI,Formulary explicitly says oral inhalation aerosol per actuation.
Beclomethasone Dipropionate,Nasal inhalation aerosol:  50 micrograms per actuation,inhalation_aerosol,"Nasal, oral spray, topical",egypt_antiretroviral_formulary_2026.pdf,69,inhaler,pmdi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,nasal_aerosol_technique,nasal aerosol/spray,Nasal technique; not an oral pMDI video.
Fluticasone,/Strengths,strengths,"Intranasal, intranasal inhalation, oral inhalation, topical",egypt_antiretroviral_formulary_2026.pdf,77,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,parser_artifact,,"Heading/parser artifact, not a dosage form."
Fluticasone,"Inhalation powder: 250 mcg, 100 mcg",inhalation_powder,"Intranasal, intranasal inhalation, oral inhalation, topical",egypt_antiretroviral_formulary_2026.pdf,77,inhaler,dpi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,DPI,Exact commercial DPI must be identified before mapping a device-specific video.
Acetylcysteine,/Strengths,strengths,"IV, Oral, Inhalation",egypt_antiretroviral_formulary_2026.pdf,93,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,parser_artifact,,"Heading/parser artifact, not a dosage form."
Acetylcysteine,Effervescent tablet: 600 mg,effervescent_tablet,"IV, Oral, Inhalation",egypt_antiretroviral_formulary_2026.pdf,93,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Oral effervescent tablet.
Acetylcysteine,Solution for oral inhalation: 100 mg/ml,inhalation,"IV, Oral, Inhalation",egypt_antiretroviral_formulary_2026.pdf,93,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,nebulizer_technique,nebulizer,Inhalation solution; use generic nebulizer technique unless a device is named.
Acetylcysteine,"Solution for IV: 2 gm/10 ml, 5 gm/25 ml, 300 mg/3 ml",solution_for_iv,"IV, Oral, Inhalation",egypt_antiretroviral_formulary_2026.pdf,93,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,IV solution.
Acetylcysteine,Concentrate for solution for IV infusion and inhalation: 1000 mg /5ml,inhalation,"IV, Oral, Inhalation",egypt_antiretroviral_formulary_2026.pdf,93,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,IV solution.
Lidocaine,topical aerosol powder spray 10gm And in combinations,inhalation_aerosol,"IM, IV, SC, Topical, oral",egypt_cardiovascular_formulary_2024.pdf,85,inhaler,pmdi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Topical aerosol; not a respiratory inhaler.
Exenatide,Powder for Suspension for Injection in prefilled pen (extended-release): 2mg,oral_suspension,SC,egypt_endocrine_formulary_2024.pdf,49,self_injection,self_injection,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_product_unresolved,extended-release prefilled pen,Exact Egyptian product/device must be confirmed.
Semaglutide,Solution in prefilled pen: 1 mg,solution_in_prefilled_pen,"Oral, SC",egypt_endocrine_formulary_2024.pdf,55,self_injection,self_injection,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_product_unresolved,prefilled semaglutide pen,Generic EDA row says 1 mg prefilled pen; brand/device must be confirmed.
Betamethasone,Topical Aerosol Foam: 0.12 gm,inhalation_aerosol,"Oral, IV, IM, Topical, intra-articular, intralesional",egypt_endocrine_formulary_2024.pdf,138,inhaler,pmdi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Topical aerosol foam; not a respiratory inhaler.
Budesonide,Inhalation,inhalation,"Oral Inhalation, Oral, Rectal, Nasal Inhalation",egypt_endocrine_formulary_2024.pdf,145,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,nebulizer_technique,nebulizer,Nebulized inhalation; exact nebulizer model is usually not drug-specific.
Budesonide,"0.5 mg/2ml, 1 mg/2ml",0_5_mg_2ml_1_mg_2ml,"Oral Inhalation, Oral, Rectal, Nasal Inhalation",egypt_endocrine_formulary_2024.pdf,145,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,nebulizer_technique,nebulizer,Nebulized inhalation; exact nebulizer model is usually not drug-specific.
Budesonide,Oral Modified-Release Tablet: 9mg,extended_release_tablet,"Oral Inhalation, Oral, Rectal, Nasal Inhalation",egypt_endocrine_formulary_2024.pdf,145,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Non-inhaler dosage form.
Budesonide,Rectal Enema: 2 mg,rectal_enema,"Oral Inhalation, Oral, Rectal, Nasal Inhalation",egypt_endocrine_formulary_2024.pdf,145,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Non-inhaler dosage form.
Budesonide,"Nasal spray: 32 mcg/metered dose, 64mcg/metered dose",nasal_spray,"Oral Inhalation, Oral, Rectal, Nasal Inhalation",egypt_endocrine_formulary_2024.pdf,145,inhaler,pmdi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,nasal_spray_technique,nasal spray,Use a generic Arabic nasal-spray technique video.
Mometasone,"Topical Lotion: 1mg/gm (15ml, 20ml, 60ml)",lotion,"Nasal, Topical, Inhalation",egypt_endocrine_formulary_2024.pdf,179,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Topical lotion.
Degludec Long acting Insulin,Solution for SC injection (prefilled pen): 100 units/ml,injection,SC,egypt_endocrine_formulary_2024.pdf,214,insulin_injection,insulin_pen,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_product_unresolved,prefilled insulin pen,Exact Egyptian commercial pen model should be confirmed.
Detemir Long-acting Insulin,Solution for injection in Pre-filled Syringe: 100 I.U./ml,injection,SC,egypt_endocrine_formulary_2024.pdf,217,insulin_injection,insulin_pen,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_product_unresolved,prefilled insulin device,Generic row says pre-filled syringe; exact commercial device not established.
Follitropin Alfa,"Solution for injection in prefilled pen: 300 IU / 0.5 ml, 900 IU/ 1.5ml",injection,SC,egypt_endocrine_formulary_2024.pdf,233,self_injection,self_injection,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_product_unresolved,prefilled follitropin alfa pen,Generic EDA formulary does not identify commercial pen brand.
