chunk_id,file,source_file,page,canonical_drug,monograph_name,section,previous_chunk_id,next_chunk_id,text,word_count
2,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,7,,,administration,1,3,"Forces Medical Services Authority Prof. Dr. Maha Abdel Aziz El-touny Prof. Internal medicine ASU. IPC consultant Ministry of Interior Dr. Asaad Sadek Acting Director IPC General Directorate (MOHP Representative) Dr. Mohammed Abdelfattah Head of the central administration for preventive affairs (MOHP Representative) Dr. Elizabeth Tayler Senior technical officer -AMR Consultant at WHO Country Office Prof. Dr. Nirmeen Ahmed Sabry Professor of clinical pharmacy Cairo University Medication management consultant Dr. Eman Nadim Clinical pharmacist at the central administration for unified procurement (The Egyptian Authority for unified procurement Representative) Dr. Omar Abdel Aziz World Health Organization Technical Officer - Surveillance, Preparedness, and Response Prof. Dr. Ghada Esmail Prof. of Clinical Pathology (Microbiology) at Faculty of Medicine Ain Shams University. Head of IPC University Hospitals (University Hospitals representative) Dr. Sherif Kamal Chief pharmacist Clinical pharmacy programs director Children's cancer hospital Egypt Dr. Ghada Ali Younis Former General Manager of the Drug Utilization and",150
3,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,7,,,administration,2,1,University Hospitals (University Hospitals representative) Dr. Sherif Kamal Chief pharmacist Clinical pharmacy programs director Children's cancer hospital Egypt Dr. Ghada Ali Younis Former General Manager of the Drug Utilization and Pharmacy Practice General Administration at the Egyptian Drug Authority. Dr. Shereen Abdel Gawad Head of Pharmaceutical Care Central Administration - Head of National Rational Antimicrobial Use Committee- EDA. Dr. Hema Soliman Quality and Patient Safety Consultant (GAHAR Representative),68
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,8,,,administration,3,1,VIII List of Contents (Pharmacologically) AMINOGLYCOSIDES 1 1. AMIKACIN 1 2. GENTAMICIN 5 3. NEOMYCIN 11 4. STREPTOMYCIN 14 5. TOBRAMYCIN 18 ANTHELMINTIC 21 1. ALBENDAZOLE 21 2. DIETHYLCARBAMAZINE 23 3. IVERMECTIN 25 4. LEVAMISOLE 28 5. MEBENDAZOLE 30 6. NICLOSAMIDE 31 7. PRAZIQUANTEL 33 8. PYRANTEL 35 9. TRICLABENDAZOLE 36 ANTIFUNGAL 37 1. AMPHOTERICIN B 37 2. ANIDULAFUNGIN 40 3. CASPOFUNGIN 42 4. FLUBENDAZOLE 45 5. FLUCONAZOLE 46 6. GRISEOFULVIN 50 7. ITRACONAZOLE 52 8. KETOCONAZOLE 56 9. MICAFUNGIN 60 10. NYSTATIN 63 11. VORICONAZOLE 65 12. POSACONAZOLE 71 ANTIMALARIAL AGENTS 76 1. ARTEMETHER AND LUMEFANTRINE 76 2. ARTESUNATE 79 3. ARTESUNATE AND AMODIAQUINE 81 4. CHLOROQUINE 83 5. HYDROXYCHLOROQUINE 87 6. MEFLOQUINE 90 7. PYRIMETHAMINE 93 8. SULFADOXINE AND PYRIMETHAMINE 95,123
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,9,,,administration,1,2,"IX ANTIRETROVIRALS 98 A) NUCLEOSIDE/NUCLEOTIDE REVERSE TRANSCRIPTASE INHIBITORS 98 1. ABACAVIR (ABC) 98 2. LAMIVUDINE (3TC) 101 3. TENOFOVIR DISOPROXIL FUMARATE (TDF) 105 4. ZIDOVUDINE 108 B) NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITORS 110 5. NEVIRAPINE (NVP) 110 6. EFAVIRENZ (EFV) 112 C) PROTEASE INHIBITORS 115 7. ATAZANAVIR (ATV) 115 8. LOPINAVIR AND RITONAVIR 117 9. DARUNAVIR AND RITONAVIR (DRV/R) 120 D) INTEGRASE INHIBITORS 123 10. DOLUTEGRAVIR (DTG) 123 11. RALTEGRAVIR 125 ANTITUBERCULAR AGENT 127 1. ETHAMBUTOL 127 2. ETHAMBUTOL, ISONIAZID, RIFAMPICIN, AND PYRAZINAMIDE 130 3. ISONIAZID 132 4. PYRAZINAMIDE 135 5. RIFAMPICIN 137 6. RIFAMPICIN AND ISONIAZID 141 ANTIVIRAL 144 1. ACYCLOVIR 144 2. ADEFOVIR DIPIVOXIL 151 3. DACLATASVIR 154 4. ENTECAVIR 157 5. FAMCICLOVIR 160 6. FAVIPIRAVIR 163 7. GANCICLOVIR 164 8. LAMIVUDINE AND ZIDOVUDINE 167 9. LEDIPASVIR AND SOFOSBUVIR 169 10. OMBITASVIR, PAPRITAPREVIR AND RITONAVIR 173 11. OSELTAMIVIR 176 12. RIBAVIRIN 180 13. SIMEPREVIR 186 14. SOFOSBUVIR 189 15.",150
2,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,9,,,administration,1,1,"164 8. LAMIVUDINE AND ZIDOVUDINE 167 9. LEDIPASVIR AND SOFOSBUVIR 169 10. OMBITASVIR, PAPRITAPREVIR AND RITONAVIR 173 11. OSELTAMIVIR 176 12. RIBAVIRIN 180 13. SIMEPREVIR 186 14. SOFOSBUVIR 189 15. SOFOSBUVIR AND VELPATASVIR 192 16. SOFOSBUVIR, VELPATASVIR AND VOXILAPREVIR 195 17. TENOFOVIR ALAFENAMIDE 198 18. VALACYCLOVIR 200 19. VALGANCICLOVIR 204",50
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,10,,,administration,2,1,"X CARBAPENENEMS 208 1. ERTAPENEM 208 2. IMIPENEM AND CILASTATIN 213 3. MEROPENEM 217 CEPHALOSPORINS 220 A) FIRST GENERATION CEPHALOSPORINS 220 1. CEFADROXIL 220 2. CEFAZOLIN 222 3. CEPHALEXIN 226 4. CEPHRADINE 229 B) SECOND GENERATION CEPHALOSPORINS 231 1. CEFACLOR 231 2. CEFOXITIN 234 3. CEFPROZIL 237 4. CEFUROXIME 239 C) THIRD GENERATION CEPHALOSPORINS 242 1. CEFDINIR 242 2. CEFIXIME 244 3. CEFPODOXIME 246 4. CEFOPERAZONE 250 5. CEFOPERAZONE AND SULBACTAM 253 6. CEFOTAXIME 255 7. CEFTAZIDIME 258 8. CEFTAZIDIME AND AVIBACTAM 261 9. CEFTRIAXONE 264 D) FOURTH GENERATION CEPHALOSPORINS 268 1. CEFEPIME 268 E) FIFTH GENERATION CEPHALOSPORINS 271 1. CEFTAROLINE FOSAMIL 271 2. CEFTOLOZANE AND TAZOBACTAM 275 MACROLIDE 278 1. AZITHROMYCIN 278 2. CLARITHROMYCIN 281 3. ERYTHROMYCIN, 285 4. ROXITHROMYCIN 288 5. SPIRAMYCIN 290 MISCELLANEOUS 292 1. AZTREONAM 292 2. CHLORAMPHENICOL 295 3. CLINDAMYCIN 298 4. COLISTIMETHATE 302 5. DAPSONE 305",142
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,11,,,administration,1,1,XI 6. DILOXANIDE 308 7. DOXYCYCLINE 309 8. FOSFOMYCIN 313 9. LINCOMYCIN 315 10. LINEZOLID 317 11. METRONIDAZOLE 321 12. NITROFURANTOIN 324 13. OXYTETRACYCLINE 327 14. RIFAXIMIN 329 15. SECNIDAZOLE 332 16. SULFAMETHOXAZOLE AND TRIMETHOPRIM 334 17. TEDIZOLID 337 18. TEICOPLANIN 339 19. TETRACYCLINE 341 20. THIAMPHENICOL 345 21. TIGECYCLINE 347 22. VANCOMYCIN 351 PENICILLINS 357 1. AMOXICILLIN 357 2. AMOXICILLIN AND CLAVULANIC ACID 361 3. AMPICILLIN 366 4. AMPICILLIN AND SULBACTAM 370 5. BENZYLPENICILLIN [PENICILLIN G] 373 6. CLOXACILLIN 378 7. FLUCLOXACILLIN 380 8. PENICILLIN G BENZATHINE 382 9. PHENOXYMETHYLPENICILLIN 386 10. PIPERACILLIN AND TAZOBACTAM 388 11. SULTAMICILLIN 391 QUINOLONES 393 1. CIPROFLOXACIN 393 2. GATIFLOXACIN 400 3. LEVOFLOXACIN 402 4. LOMEFLOXACIN 407 5. MOXIFLOXACIN 409 6. NORFLOXACIN 413 7. OFLOXACIN 415 TOPICAL 420 1. BENZYL BENZOATE 420 2. CLOTRIMAZOLE 422 3. ECONAZOLE 425 4. ERYTHROMYCIN AND ZINC ACETATE 427 5. ISOCONAZOLE 428,144
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,12,,,administration,1,1,"XII 6. MICONAZOLE 429 7. MUPIROCIN 431 8. NEOMYCIN, POLYMYXIN B, AND DEXAMETHASONE 433 9. NATAMYCIN 435 10. TERBINAFINE 436 11. SELENIUM SULFIDE 439 12. SILVER SULFADIAZINE 441 13. SODIUM FUSIDATE/ FUSIDIC ACID 443 14. PERMETHRIN 445 LIST OF CONTENT I REFERENCES: V",43
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,13,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,indications,1,2,"Amino Aminoglycosides glycosides 1. Amikacin Generic Name Amikacin Dosage form/strengths Vial 100mg, 250mg, 500mg, 1000mg Route of administration IV, IM Pharmacologic category Antibiotic, Aminoglycoside ATC: J01GB06 Indications Serious infections: Treatment of serious infections (eg, bone infections, respiratory tract infections, endocarditis, septicemia) due to gram-negative organisms Dosage Regimen Individualization is critical because of the low therapeutic index. In underweight and nonobese patients, use total body weight (TBW) instead of ideal body weight. For obese patients (ie, TBW >1.25 × IBW), use 40% adjusted body weight ([0.4 × (TBW - IBW)] + IBW) for initial weight-based dosing Therapeutic drug monitoring: Monitoring of serum concentrations is recommended to ensure efficacy and avoid toxicity, particularly in critically ill patients with serious infections or in disease states known to significantly alter aminoglycoside pharmacokinetics (eg, cystic fibrosis, burns, major surgery). Timing and frequency of concentration monitoring are individualized based on dosing and monitoring strategy Dosing: Adult",150
2,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,13,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,dosage,1,3,"disease states known to significantly alter aminoglycoside pharmacokinetics (eg, cystic fibrosis, burns, major surgery). Timing and frequency of concentration monitoring are individualized based on dosing and monitoring strategy Dosing: Adult Usual dosage range: Injectable aminoglycoside dosing is highly variable and dependent on several factors. Maximum doses are: IM, IV: 5 mg/kg every 8 hours or 7.5 mg/kg every 12 hours. Target peak concentration depends on the indication, site of infection, and minimum inhibitory concentration (MIC) of the pathogen; in general, adjust dose to achieve the peak of 20 to 40 mg/L. Target trough concentrations should be <8 mg/L; the ideal target trough is 1 to 4 mg/L. Note: Some clinicians suggest a daily dose of 15 to 20 mg/kg once daily for patients with normal renal function. Dosing: Pediatric General dosing, severe, susceptible infections: Infants, Children, and Adolescents: IM, IV: 15-20 mg/kg/day divided every 12 or 8 hours or 15",150
3,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,13,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,dosage_adjustment,2,1,"daily for patients with normal renal function. Dosing: Pediatric General dosing, severe, susceptible infections: Infants, Children, and Adolescents: IM, IV: 15-20 mg/kg/day divided every 12 or 8 hours or 15 to 20 mg/kg/dose every 24 hours. Dosage adjustment • Dosing: Renal impairment Adult: CrCl If the usual indication-specific dose is 7.5 mg/kg every 12 hours or 5 mg/kg every 8 hours ≥60 mL/minute No dosage adjustment necessary. 40 to <60 mL/minute 5 to 7.5 mg/kg every 12 hours. 20 to <40 mL/minute 5 to 7.5 mg/kg every 24 hours. Serum concentrations of the drug should be monitored in dialysis patients and dosage adjusted to maintain desired serum concentrations. Access Group",110
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,14,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,dosage,3,2,"• Dosing: Altered Kidney Function: Pediatric Infants, Children, and Adolescents: IM, IV: Note: Renally adjusted dose recommendations are based on doses of 5 to 7.5 mg/kg/dose every 8 hours: GFR >50 mL/minute/1.73 m2: No adjustment is required. GFR 30 to 50 mL/minute/1.73 m2: Administer every 12 to 18 hours. GFR 10 to 29 mL/minute/1.73 m2: Administer every 18 to 24 hours. GFR <10 mL/minute/1.73 m2: Administer every 48 to 72 hours. Intermittent hemodialysis: 5 mg/kg/dose; readjust dose as indicated by serum concentrations. Peritoneal dialysis (PD): 5 mg/kg/dose; readjust dose as indicated by serum concentrations. Continuous renal replacement therapy (CRRT): 7.5 mg/kg/dose every 12 hours, monitor serum concentrations. • Dosing: Hepatic Impairment: There are no dosage adjustments needed. Contraindications Hypersensitivity to amikacin, other aminoglycosides, or any component of the formulation Adverse Drug Reactions Frequency not defined: Nervous system: Neurotoxicity (including muscle twitching, numbness, seizure, tingling of skin) Otic: Auditory ototoxicity, vestibular",150
2,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,14,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,dosage,1,3,"amikacin, other aminoglycosides, or any component of the formulation Adverse Drug Reactions Frequency not defined: Nervous system: Neurotoxicity (including muscle twitching, numbness, seizure, tingling of skin) Otic: Auditory ototoxicity, vestibular ototoxicity Renal: Nephrotoxicity Respiratory: Respiratory paralysis Monitoring Parameters • Urinalysis, BUN, serum creatinine, appropriately timed peak and trough concentrations, vital signs, temperature, weight, hearing parameters • Initial and periodic peak and trough plasma drug levels should be determined, particularly in critically ill patients with serious infections or in disease states known to significantly alter aminoglycoside pharmacokinetics (eg, cystic fibrosis, burns, or major surgery). • Close monitoring of aminoglycoside levels in case of combination therapy with penicillin and aminoglycoside is needed in patients with significant renal impairment Reference Range Traditional dosing: Target concentrations: Peak: 20 to 40 mg/L; trough: <8 mg/L (ideal target 1 to 4 mg/L) Timing of serum samples: Draw peak 30 minutes after completion of 30-minute infusion or",150
3,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,14,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,dosage,2,4,"Target concentrations: Peak: 20 to 40 mg/L; trough: <8 mg/L (ideal target 1 to 4 mg/L) Timing of serum samples: Draw peak 30 minutes after completion of 30-minute infusion or at 1 hour following initiation of infusion or IM injection; draw trough within 30 minutes prior to next dose Drug Interactions • Risk X: Avoid combination Aminoglycosides Ataluren BCG (Intravesical) Bacitracin (Systemic) Cholera Vaccine Cisplatin Foscarnet Mannitol Mecamylamine Methoxyflurane Netilmicin (Ophthalmic) Polymyxin B • Risk D: Consider therapy modification Bacillus clausii Colistimethate Sodium Picosulfate Typhoid Vaccine Vancomycin Pregnancy and Lactation Pregnancy risk factor D. A decision should be made to discontinue breastfeeding or discontinue the drug, taking into account the importance of the drug to the mother. Patients with multidrug-resistant tuberculosis and a sputum smear-positive test should avoid breastfeeding when possible The effects on the nursing infant are unknown. -Breastfed infants should be monitored for antibiotic-associated colitis, diarrhea, and/or",149
4,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,14,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,pregnancy_lactation,3,1,"tuberculosis and a sputum smear-positive test should avoid breastfeeding when possible The effects on the nursing infant are unknown. -Breastfed infants should be monitored for antibiotic-associated colitis, diarrhea, and/or",29
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,15,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,administration,4,2,"candidiasis. Administration Administration: IM injection in large muscle mass. Administration: IV Infuse over 30 to 60 minutes. In infants, infusion over 1 to 2 hours is recommended. Preparation for Administration: For intravenous administration, dilute in a compatible solution (eg, NS, D5W) to a final concentration of 0.25 to 5 mg/mL Refer to manufacturer PIL if there are specific considerations. Warnings/ Precautions Concerns related to adverse effects: • Hypersensitivity: Cross-sensitivity to other aminoglycosides may occur. • Nephrotoxicity: [US Boxed Warning]: May cause nephrotoxicity; usual risk factors include preexisting renal impairment, concomitant nephrotoxic medications, advanced age and dehydration. Discontinue treatment if signs of nephrotoxicity occur; renal damage is usually reversible. • Neuromuscular blockade and respiratory paralysis: [US Boxed Warning]: May cause neuromuscular blockade and respiratory paralysis; especially when given soon after anesthesia or muscle relaxants. • Neurotoxicity: [US Boxed Warning]: May cause neurotoxicity; usual risk factors include preexisting renal impairment, concomitant neuro-/nephrotoxic",150
2,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,15,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,warnings_precautions,1,3,"blockade and respiratory paralysis; especially when given soon after anesthesia or muscle relaxants. • Neurotoxicity: [US Boxed Warning]: May cause neurotoxicity; usual risk factors include preexisting renal impairment, concomitant neuro-/nephrotoxic medications, advanced age and dehydration. Ototoxicity is proportional to the amount of drug given and the duration of treatment. Tinnitus or vertigo may be indications of vestibular injury and impending bilateral irreversible damage. Discontinue treatment if signs of ototoxicity occur. • Superinfection: Prolonged use Disease-related concerns: • Hearing impairment: Use with caution in patients with preexisting vertigo, tinnitus, or hearing loss. • Hypocalcemia: Use with caution in patients with hypocalcemia. • Neuromuscular disorders: Use with caution in patients with neuromuscular disorders, including myasthenia gravis or parkinsonism. • Renal impairment: Use with caution in patients with preexisting renal insufficiency; dosage modification required. Concurrent drug therapy issues: • Neurotoxic and/or nephrotoxic drugs: [US Boxed Warning]: Avoid concomitant or sequential use of other",150
3,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,15,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,dosage,2,4,"with caution in patients with preexisting renal insufficiency; dosage modification required. Concurrent drug therapy issues: • Neurotoxic and/or nephrotoxic drugs: [US Boxed Warning]: Avoid concomitant or sequential use of other neurotoxic and/or nephrotoxic drugs (eg, bacitracin, cisplatin, amphotericin B, paromomycin, polymyxin B, colistin, vancomycin, other aminoglycosides). • Potent diuretics: [US Boxed Warning]: Avoid concomitant use with potent diuretics (eg, ethacrynic acid, furosemide) since diuretics themselves may cause ototoxicity and may enhance aminoglycoside toxicity. Dosage form specific issues: • Sulfites: May contain sulfites which may cause allergic reactions Other warnings/precautions: • Surgical irrigation: Irreversible deafness, renal failure, and death due to neuromuscular blockade have been reported following use of aminoglycosides as surgical irrigation Storage Store intact vials at 20°C to 25°C. Following admixture, amikacin is stable for 24 hours at room temperature, 60 days at 4°C, or 30 days at -15°C. Previously refrigerated solutions are stable for 24 hours at 25°C.",150
4,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,15,aminoglycosides glycosides 1. amikacin,Aminoglycosides glycosides 1. Amikacin,dosage,3,1,"Following admixture, amikacin is stable for 24 hours at room temperature, 60 days at 4°C, or 30 days at -15°C. Previously refrigerated solutions are stable for 24 hours at 25°C. Refer to manufacturer PIL if there are specific considerations.",39
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,17,gentamicin,Gentamicin,dosage,4,2,"2. Gentamicin Generic Name Gentamicin Dosage form/strengths Ampoule 20mg, 40mg, 80mg Topical cream or ointment 0.1%, 0.3% Eye/ear Drops 0.3%, 5mg/ml, Eye/ Ear Ointment: 3mg/gm, 5mg/gm Route of administration IV, IM, Topical, Opthalmic Pharmacologic category Antibiotic, Aminoglycoside Systemic ATC: J01GB03 Ophthalmic ATC: S01AA11 Topical: D06AX07 Indications IV, IM: Serious infections: Treatment of serious infections (eg, sepsis, meningitis, urinary tract infections, respiratory tract infections, peritonitis, bone infections, skin and soft tissue infections) caused by susceptible strains Treatment of infective endocarditis caused by enterococci, in combination with other antibiotics. Dermatologic infections: Topical treatment of superficial dermatologic infections Ophthalmic infections: Topical treatment of ocular bacterial infections, including conjunctivitis, keratitis, keratoconjunctivitis, corneal ulcers, blepharitis, blepharoconjunctivitis, acute meibomianitis, and dacryocystitis Dosage Regimen Note: Aminoglycoside dosing weight: For obese patients (ie, TBW >1.25 x IBW), use 40% adjusted body weight ([0.4 x {TBW-IBW}] + IBW) for initial weight-based dosing. Therapeutic drug monitoring: Monitoring of serum concentrations",150
2,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,17,gentamicin,Gentamicin,dosage,1,3,"weight: For obese patients (ie, TBW >1.25 x IBW), use 40% adjusted body weight ([0.4 x {TBW-IBW}] + IBW) for initial weight-based dosing. Therapeutic drug monitoring: Monitoring of serum concentrations is recommended to ensure efficacy and avoid toxicity. Note: High-dose, extended-interval dosing is generally preferred for treatment of gram-negative infections. Conventional/traditional dosing is typically used for synergy dosing or non-CNS, grampositive infections. Dosing: Adult Gram-negative infections: Conventional dosing: IV, IM: 3 to 5 mg/kg/day in divided doses every 8 hours High-dose extended-interval dosing (once-daily dosing): IV: 5 to 7 mg/kg once daily; use with caution in patients with CrCl <40 mL/minute Synergy dosing for non-CNS gram-positive infections: IV, IM: 3 mg/kg/day in 1 to 3 divided doses in combination with a gram-positive active agent Endocarditis, treatment: Enterococcus spp. (native or prosthetic valve, without high-level gentamicin resistance): IV, IM: 1 mg/kg every 8 hours as part of an appropriate combination regimen.",150
3,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,17,gentamicin,Gentamicin,dosage,2,1,"a gram-positive active agent Endocarditis, treatment: Enterococcus spp. (native or prosthetic valve, without high-level gentamicin resistance): IV, IM: 1 mg/kg every 8 hours as part of an appropriate combination regimen. Urinary tract infection, complicated (pyelonephritis or urinary tract infection with systemic signs/symptoms) (alternative agent): Access Group",46
