generic_name,dosage_form_raw,dosage_form_normalized,route,administration_instructions,device_category,technique_category,self_use_video_relevance,device_specificity,exact_device_review_required,exact_device_name,source_file,source_page,review_status,review_notes
Clindamycin,Vaginal ovules 100mg,vaginal_suppository,Oral IV IM intravaginal,"Oral IV IM intravaginal 
Pharmacologic 
category 
Antibiotic, Lincosamide 
ATC (Topical): D10AF01  
ATC (Gynecological): G01AA10  
ATC (systemic): J01FF01",rectal,suppository,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,310,pending,"Suppository insertion, unwrapping, position, and retention"
Colistimethate,Powder for solution for injection or for nebulizer solution 1MIU,nebulizer_solution,"Parentral, Oral","Parentral, Oral 
Pharmacologic 
category 
Antibiotic, Miscellaneous 
ATC: J01XB01  
Indications 
Treatment of acute or chronic infections due to sensitive strains of certain gram-negative bacilli",nebulizer,nebulizer,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,314,pending,Medical nebulizer chamber & compressor setup technique
Metronidazole,Suppository 1gm,suppository,"IV, Oral, rectal, intravaginal","IV, Oral, rectal, intravaginal 
Pharmacologic 
category 
Amebicide; Antiprotozoal, Nitroimidazole 
Indications 
Amebiasis, Anaerobic bacterial infections (caused by Bacteroides spp., including the B. 
fragilis group), Surgical prophylaxis (colorectal surgery), Trichomoniasis",rectal,suppository,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,333,pending,"Suppository insertion, unwrapping, position, and retention"
Metronidazole,Vaginal suppository 500mg Vaginal gel 0.75%,suppository,"IV, Oral, rectal, intravaginal","IV, Oral, rectal, intravaginal 
Pharmacologic 
category 
Amebicide; Antiprotozoal, Nitroimidazole 
Indications 
Amebiasis, Anaerobic bacterial infections (caused by Bacteroides spp., including the B. 
fragilis group), Surgical prophylaxis (colorectal surgery), Trichomoniasis",rectal,suppository,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,333,pending,"Suppository insertion, unwrapping, position, and retention"
Tetracycline,Capsule 250mg Eye Ointment 1%,capsule,Oral topical,"Oral topical 
Pharmacologic 
category 
Antibiotic, Tetracycline Derivative 
ATC (Topical): D06AA04 
ATC (systemic): J01AA07  
ATC (Ophthalmic): S01AA09, S03AA02",ophthalmic,eye_ointment,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,353,pending,Eye ointment ribbon application along the lower eyelid
Ciprofloxacin,"Extended Release Tablets: 500 mg, 1g Eye ointment 0.3%",tablet,"Oral,  Opthalmic, IV","Oral,  Opthalmic, IV 
Pharmacologic 
action 
Antibiotic, Fluoroquinolone 
Systemic ATC: J01MA02 
Ophthalmic ATC: S03AA07  
Indications",ophthalmic,eye_ointment,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,405,pending,Eye ointment ribbon application along the lower eyelid
Ciprofloxacin,Ear or eye drops 3mg/ml,eye_drops,"Oral,  Opthalmic, IV","Oral,  Opthalmic, IV 
Pharmacologic 
action 
Antibiotic, Fluoroquinolone 
Systemic ATC: J01MA02 
Ophthalmic ATC: S03AA07  
Indications",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,405,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Gatifloxacin,"Eye drops 0.3%, 0.5%",eye_drops,Ophthalmic,"Ophthalmic 
Pharmacologic 
action 
 Fluoroquinolone; Antibiotic, Ophthalmic 
ATC: S01AE06 
 
Indications",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,412,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Levofloxacin,Eye drops 0.5% (5mg/ml),eye_drops,"IV, Oral, Ophthalmic solution","IV, Oral, Ophthalmic solution 
Pharmacologic
al action 
Antibiotic, Fluoroquinolone 
Systemic ATC: J01MA12 
Ophthalmic ATC: S01AE05 
Indications",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,414,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Lomefloxacin,"Ophthalmic Solution, eye drops: 3 mg/ml",eye_drops,"Oral ,Ophthalmic","Oral ,Ophthalmic 
Pharmacologic 
category
 
Antibiotic, Quinolone 
Systemic ATC: J01MA07 
Opthalmic ATC:  S01AE04",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,419,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Moxifloxacin,"Tablets 400mg, Ophthalmic solution 0.5%",tablet,"Oral, ophthalmic, IV","Oral, ophthalmic, IV 
Pharmacologic 
action 
Antibiotic, Fluoroquinolone;  
Systemic ATC: J01MA14 
Ophthalmic ATC: S01AE07 
Indications",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,421,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Norfloxacin,Ophthalmic solution: 15 mg/5ml,eye_drops,"Oral, Ophthalmic","Oral, Ophthalmic 
Pharmacologic 
category
 
Antibiotic, Fluoroquinolone 
ATC systemic: J01MA06  
ATC: Ophthalmic: S01AE02",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,425,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Ofloxacin,Ophthalmic solution 3mg/ml,eye_drops,"Oral, Ophthalmic","Oral, Ophthalmic 
Pharmacologic 
action 
Antibiotic, Fluoroquinolone 
Systemic ATC: J01MA01 
Opthalmic ATC: S01AE01 
Indications",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,427,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Clotrimazole,Aerosol 1% Solution 1%,inhalation_aerosol,"Topical, inhalation, intravaginal","Topical, inhalation, intravaginal 
Pharmacologic 
category 
Antifungal Agent, Imidazole Derivative 
ATC (Topical): D01AC01  
ATC (Vaginal): G01AF02  
Indications",inhaler,pmdi_inhaler,yes,exact_device_required,true,,egypt_antimicrobial_formulary_2023.pdf,434,pending,Pressurized metered-dose inhaler actuation & coordination technique
Clotrimazole,Topical powder 1%,powder,"Topical, inhalation, intravaginal","Topical, inhalation, intravaginal 
Pharmacologic 
category 
Antifungal Agent, Imidazole Derivative 
ATC (Topical): D01AC01  
ATC (Vaginal): G01AF02  
Indications",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antimicrobial_formulary_2023.pdf,434,pending,Inhalation delivery system requiring exact device mapping
Clotrimazole,Topical spray 10mg/ml,topical_spray,"Topical, inhalation, intravaginal","Topical, inhalation, intravaginal 
Pharmacologic 
category 
Antifungal Agent, Imidazole Derivative 
ATC (Topical): D01AC01  
ATC (Vaginal): G01AF02  
Indications",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antimicrobial_formulary_2023.pdf,434,pending,Inhalation delivery system requiring exact device mapping
Econazole,Vaginal Pessary/ovules: 150 mg,vaginal_suppository,"Topical, vaginal","Topical, vaginal 
Pharmacologic 
category 
Antifungal Agent, Imidazole Derivative 
ATC (Topical): D01AC03  
ATC (Gynecological): G01AF05  
Indications",rectal,suppository,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,437,pending,"Suppository insertion, unwrapping, position, and retention"
Isoconazole,"Vaginal ovules 300, 600mg",vaginal_suppository,"Topical, intravaginal","Topical, intravaginal 
Pharmacologic 
category 
Imidazole antifungal 
ATC (Topical): D01AC05  
ATC (Vaginal): G01AF07  
Indications",rectal,suppository,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,440,pending,"Suppository insertion, unwrapping, position, and retention"
Miconazole,"Vaginal ovules 400mg, 1200",vaginal_suppository,"Topical , Intravaginal, oral","Topical , Intravaginal, oral 
Pharmacologic 
category 
Antifungal Agent, Imidazole Derivative;  
ATC (Topical): D01AC02  
ATC (Gynecological): G01AF04  
Indications",rectal,suppository,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,441,pending,"Suppository insertion, unwrapping, position, and retention"
Miconazole,"Vaginal suppository 200mg, 400mg",suppository,"Topical , Intravaginal, oral","Topical , Intravaginal, oral 
Pharmacologic 
category 
Antifungal Agent, Imidazole Derivative;  
ATC (Topical): D01AC02  
ATC (Gynecological): G01AF04  
Indications",rectal,suppository,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,441,pending,"Suppository insertion, unwrapping, position, and retention"
"Neomycin, Polymyxin B, and Dexamethasone",Eye ointment: Dexamethasone 1 mg ; Neomycin Sulphate 5mg ; Polymyxin B Sulphate 6000 I.U,eye_ointment,ophthalmic,"ophthalmic 
Pharmacologic 
category 
Antibiotic/Corticosteroid, Ophthalmic 
ATC: A07AA51  
Indications 
Inflammatory ocular conditions: Management of corticosteroid-responsive inflammatory ocular",ophthalmic,eye_ointment,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,445,pending,Eye ointment ribbon application along the lower eyelid
Terbinafine,Topical Aerosol Powder: 1%,inhalation_aerosol,"Topical, Oral","Topical, Oral 
Pharmacologic 
category 
Antifungal Agent 
ATC (Topical): D01AE15 
ATC (systemic): D01BA02  
Indications",inhaler,pmdi_inhaler,yes,exact_device_required,true,,egypt_antimicrobial_formulary_2023.pdf,448,pending,Pressurized metered-dose inhaler actuation & coordination technique
Sodium Fusidate/ Fusidic acid,eye drops 1mg/gm,eye_drops,"Oral, topical, Opthalmic","Oral, topical, Opthalmic 
Pharmacologic 
category 
Antibiotic, Miscellaneous; Antibiotic, Topical 
ATC (Topical): D06AX01  
ATC (Dressing): D09AA02  
ATC (Systemic): J01XC01",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,455,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Cetirizine,Ophthalmic solution: 2.4 mg/ 1 ml And combinations,eye_drops,"Oral, IV, Ophthalmic","Oral, IV, Ophthalmic 
Pharmacologic 
Category 
Histamine H1 antagonist, second generation: piperazine derivative. 
ATC: Oral: R06AE07, Ophthalmic: S01GX12 
Indications 
Oral (in adults and children 2 years and above)",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antiretroviral_formulary_2026.pdf,14,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Ipratropium Bromide,"Nebulizer solution for inhalation: 250 mcg /ml, 500 mcg /2ml, 250 mcg /2ml",nebulizer_solution,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Anticholinergic agent 
ATC: R03BB01 
Indications 
Nebulization",nebulizer,nebulizer,yes,generic_technique,false,,egypt_antiretroviral_formulary_2026.pdf,30,pending,Medical nebulizer chamber & compressor setup technique
Tiotropium,Dry powder in hard capsule: 18 mcg,capsule,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Anticholinergic agent, long-acting bronchodilators 
ATC: R03BB04. 
Indications 
• Maintenance broncho dilator treatment of bronchospasm in patients with",inhaler,dpi_inhaler,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,33,pending,DPI breath-actuated inhalation device technique
Formoterol,12 mcg in combination with 400 mcg budesonide,12_mcg_in_combination_with_400_mcg_budesonide,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Formoterol,6 mcg in combination with 200 mcg budesonide,6_mcg_in_combination_with_200_mcg_budesonide,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Formoterol,Inhalation powder,inhalation_powder,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,dpi_inhaler,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,DPI breath-actuated inhalation device technique
Formoterol,4.5 mcg (in combination with 80 mcg budesonide),4_5_mcg_in_combination_with_80_mcg_budesonide,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Formoterol,4.5 mcg (in combination with 160 mcg budesonide),4_5_mcg_in_combination_with_160_mcg_budesonide,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Formoterol,9 mcg (in combination with 320 mcg budesonide) Pressurized Inhalation Solution 12 mcg alone,nebulizer_solution,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",nebulizer,nebulizer,yes,generic_technique,false,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Medical nebulizer chamber & compressor setup technique
Formoterol,6 mcg in combination with 100 beclomethasone dipropionate,6_mcg_in_combination_with_100_beclomethasone_dipropionate,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Formoterol,5 mcg in combination with fluticasone propionate 50 mcg,5_mcg_in_combination_with_fluticasone_propionate_50_mcg,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Formoterol,5 mcg in combination with fluticasone propionate 100 mcg,5_mcg_in_combination_with_fluticasone_propionate_100_mcg,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Formoterol,10 mcg in combination with fluticasone propionate 250 mcg Oral Inhalation,inhalation,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Formoterol,5 mcg formoterol fumarate dihydrate micronized + 4.5 mcg formoterol fumarate in,5_mcg_formoterol_fumarate_dihydrate_micronized_4_5_mcg_formoterol_fumarate_in,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Formoterol,combination with 160 mcg budesonide + 9 mcg glycopyrroium bromide,combination_with,Oral Inhalation,"Oral Inhalation 
Pharmacologic 
Category 
Beta2 agonist; beta2-adrenergic agonist, long-acting 
ATC: R03AC13 
Indications 
• Indicated for use in the treatment and prophylaxis of bronchoconstriction in",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,42,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,2 mg/5 ml,2_mg_5_ml,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,2 mg + 50 mg guaifenesin /5ml,2_mg_50_mg_guaifenesin_5ml,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,2 mg + 100 mg ammonium chloride /5ml,2_mg_100_mg_ammonium_chloride_5ml,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,1 mg + 50 mg guaifenesin + 2 mg bromhexine chloride /5ml Oral inhalation solution,nebulizer_solution,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",nebulizer,nebulizer,yes,generic_technique,false,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Medical nebulizer chamber & compressor setup technique
Salbutamol,"5 mg/ml, 2.5 mg/2.5ml, 5 mg/2.5ml",5_mg_ml_2_5_mg_2_5ml_5_mg_2_5ml,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,2.5 mg + 0.5 mg ipratropium bromide /2.5ml,2_5_mg_0_5_mg_ipratropium_bromide_2_5ml,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,1 mg + 0.2 mg ipratropium bromide / 1 ml,1_mg_0_2_mg_ipratropium_bromide_1_ml,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,Oral dry powder inhalation: 200 mcg/dose Oral metered dose inhaler,inhalation_powder,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,dpi_inhaler,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,DPI breath-actuated inhalation device technique
Salbutamol,0.1 mg/dose,0_1_mg_dose,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,0.1 mg + 0.02 mg ipratropium chloride/dose,0_1_mg_0_02_mg_ipratropium_chloride_dose,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,0.1 mg + 0.05 mg beclomethasone dipropionate /dose,0_1_mg_0_05_mg_beclomethasone_dipropionate_dose,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Salbutamol,Parenteral SC/IM/IV: 0.5 mg/ml,parenteral_sc_im_iv,"Oral, Oral Inhalation, Parenteral","Oral, Oral Inhalation, Parenteral 
Pharmacologic 
Category 
Selective Beta2 Agonist, short-acting 
ATC 
Oral Inhalation: R03AC02 
Oral, Parenteral: R03CC02",inhaler,inhaler_unspecified,yes,exact_device_required,true,,egypt_antiretroviral_formulary_2026.pdf,48,pending,Inhalation delivery system requiring exact device mapping
Terbutaline,"Syrup: 1.5 mg/5ml single and in combination, 1.25 mg, 1.5 mg/5ml in combination",oral_syrup,"Oral, inhalation","Oral, inhalation 
Pharmacologic 
Category 
Beta2-adrenoreceptor agonists 
 
ATC 
Nebulizer solution: R03AC03",nebulizer,nebulizer,yes,generic_technique,false,,egypt_antiretroviral_formulary_2026.pdf,53,pending,Medical nebulizer chamber & compressor setup technique
Terbutaline,Tablets: 2.5 mg,tablet,"Oral, inhalation","Oral, inhalation 
Pharmacologic 
Category 
Beta2-adrenoreceptor agonists 
 
ATC 
Nebulizer solution: R03AC03",nebulizer,nebulizer,yes,generic_technique,false,,egypt_antiretroviral_formulary_2026.pdf,53,pending,Medical nebulizer chamber & compressor setup technique
