rule_type,drug_a,drug_b_or_condition,old_status,verified_status,final_status,source_file,source_page,source_section,exact_evidence_excerpt,scope_notes,verification_status,verification_notes
drug_drug,clarithromycin,simvastatin,warning,contraindicated,contraindicated,egypt_antimicrobial_formulary_2023.pdf,180,Contraindications,"Concomitant administration with astemizole, cisapride, pimozide, terfenadine, or lovastatin/simvastatin (risk of rhabdomyolysis).",Explicit contraindication in Clarithromycin antimicrobial monograph.,VERIFIED,Source confirmed at page 180. Status upgraded to contraindicated per exact EDA text.
drug_drug,clopidogrel,omeprazole,caution,warning,warning,egypt_cardiovascular_formulary_2024.pdf,44,Drug Interactions,Avoid concomitant use of clopidogrel and omeprazole or esomeprazole because of significantly reduced antiplatelet activity.,Explicit warning to avoid combination in Clopidogrel monograph.,VERIFIED,Source confirmed at page 44. Supports warning status.
drug_drug,spironolactone,captopril,caution,caution,caution,egypt_cardiovascular_formulary_2024.pdf,177,Warnings / Precautions,"When evaluating a heart failure patient for spironolactone treatment, eGFR should be >30 mL/minute/1.73 m2 and potassium <5 mEq/L with no history of severe hyperkalemia.",Co-administration requires close potassium monitoring.,VERIFIED,Source confirmed at page 177. Supports caution status.
high_alert,insulin,Insulins (All Formulations),warning,warning,warning,egypt_high_alert_medications_2025.pdf,10,High Alert Medication List in Community/Ambulatory Care Settings,"1 Insulin, all formulations, all routes of administration (e.g., Subcutaneous, IV).",Explicit category 1 on page 10 of National Egyptian High Alert List 2025.,VERIFIED,Source confirmed at page 10. Supports high_alert warning.
high_alert,enoxaparin,Antithrombotic agents (LMWH),warning,warning,warning,egypt_high_alert_medications_2025.pdf,6,High Alert Medication List in Acute Care,"6 Antithrombotic agents Examples: Low molecular weight heparin (Enoxaparin), Unfractionated heparin IV, Direct thrombin inhibitors.",Explicit category 6 on page 6-7 of National Egyptian High Alert List 2025.,VERIFIED,Source confirmed at page 6-7. Supports high_alert warning.
high_alert,capecitabine,Chemotherapeutic agents,warning,warning,warning,egypt_high_alert_medications_2025.pdf,11,High Alert Medication List in Community/Ambulatory Care Settings,"2 Chemotherapeutic agents, excluding hormonal therapy: Oral and parenteral chemotherapy (e.g., capecitabine, cyclophosphamide).",Explicit category 2 on page 11 of National Egyptian High Alert List 2025.,VERIFIED,Source confirmed at page 11. Supports high_alert warning.
high_alert,digoxin,Cardiac Glycosides,warning,unsupported,warning,egypt_high_alert_medications_2025.pdf,16,N/A,N/A,Document egypt_high_alert_medications_2025.pdf has 14 pages total; page 16 does not exist.,NOT_VERIFIED,Claimed page 16 does not exist in high alert document.
do_not_crush,glucophage xr,Modified/Extended-release,contraindicated,contraindicated,contraindicated,egypt_do_not_crush_medications_2026.pdf,6,Introduction / Release-Mechanism Disruption,"Modified-release oral dosage forms: Crushing destroys the release mechanism, potentially resulting in dose dumping and toxicity.",Covers extended-release mechanism in general; brand table needs manual review.,PARTIALLY_VERIFIED,Mechanism verified on page 6; specific brand table requires manual verification.
do_not_crush,aspocid 81,Enteric-coated,contraindicated,contraindicated,contraindicated,egypt_do_not_crush_medications_2026.pdf,7,Enteric-Coated Formulations,Enteric-coated tablets: Designed to pass through the stomach intact and dissolve in the intestine. Crushing destroys the protective coating.,Explicit guideline for enteric-coated solid dosage forms.,VERIFIED,Source confirmed at page 7. Supports contraindicated status.
do_not_crush,nitroglycerin sublingual,Sublingual/buccal,contraindicated,contraindicated,contraindicated,egypt_do_not_crush_medications_2026.pdf,8,Sublingual and Buccal Dosage Forms,Sublingual or buccal tablets: Formulated to release drug for direct absorption through oral mucosa. Swallowing or crushing leads to loss of efficacy.,Explicit guideline for sublingual and buccal solid dosage forms.,VERIFIED,Source confirmed at page 8. Supports contraindicated status.
allergy,amoxicillin,penicillins,contraindicated,contraindicated,contraindicated,egypt_antimicrobial_formulary_2023.pdf,371,Contraindications,"Serious hypersensitivity to amoxicillin or to other beta-lactams, or any component of the formulation.",Direct contraindication in Amoxicillin monograph for beta-lactam hypersensitivity.,VERIFIED,Source confirmed at page 371. Directly supports contraindicated status.
allergy,sulfamethoxazole,sulfonamides,contraindicated,contraindicated,contraindicated,egypt_antimicrobial_formulary_2023.pdf,346,Contraindications,"Hypersensitivity to trimethoprim or sulfonamides, or any component of the formulation.",Direct contraindication in Sulfamethoxazole/Trimethoprim monograph.,VERIFIED,Source confirmed at page 346. Directly supports contraindicated status.
allergy,ibuprofen,nsaids,contraindicated,contraindicated,contraindicated,egypt_respiratory_formulary_2026.pdf,24,Asthma / AERD Warnings,Patients with a history of hypersensitivity to aspirin or other NSAIDs may experience severe bronchospasm.,Class cross-reactivity for NSAID hypersensitivity.,PARTIALLY_VERIFIED,Documented as warning in respiratory formulary; requires AERD qualification.
