question_id,query,canonical_retrieval_query,expected_drug,expected_document,expected_page,expected_section,language,dense_rank_k50,bm25_rank_k50,rrf_rank,final_rerank_rank,primary_failure_classification
22,What are the drug interactions between Clarithromycin and CYP3A4 metabolized drugs?,What are the drug interactions between Clarithromycin and CYP3A4 metabolized drugs?,clarithromycin,egypt_antimicrobial_formulary_2023.pdf,121,drug_interactions,en,>50,43,>50,>5,A: expected chunk missing in Dense candidates
24,What are the warnings for Levofloxacin regarding QT prolongation?,What are the warnings for Levofloxacin regarding QT prolongation?,levofloxacin,egypt_antimicrobial_formulary_2023.pdf,415,warnings,en,18,9,20,>5,D: reaches reranker but reranker demotes below Top 5
26,Why should enteric coated capsules not be crushed?,Why should enteric coated capsules not be crushed?,enteric_coated,egypt_do_not_crush_medications_2026.pdf,3,do_not_crush,en,10,13,7,>5,D: reaches reranker but reranker demotes below Top 5
29,What are the OTC indications and warnings for Aspirin 81 mg?,What are the OTC indications and warnings for Aspirin 81 mg?,aspirin,egypt_otc_drug_list_2026.pdf,11,indications,en,>50,>50,>50,>5,A/B: expected chunk never enters candidates at K=20
34,ما هي الاثار الجانبية لدواء سيبروفلوكساسين على الاوتار؟,ما هي الاثار الجانبيه لدواء سيبروفلوكساسين علي الاوتار؟ ciprofloxacin ciprofloxacin indications dosage adverse reactions,ciprofloxacin,egypt_antimicrobial_formulary_2023.pdf,406,adverse_reactions,ar,>50,2,4,>5,A: expected chunk missing in Dense candidates
36,هل دواء اموكسيسيلين ممنوع لمن يعانون من حساسية البنسلين؟,هل دواء اموكسيسيلين ممنوع لمن يعانون من حساسيه البنسلين؟ amoxicillin amoxicillin penicillin contraindications,amoxicillin,egypt_antimicrobial_formulary_2023.pdf,371,contraindications,ar,8,15,3,>5,D: reaches reranker but reranker demotes below Top 5
37,ما هي التداخلات الدوائية الخطيرة مع دواء وارفارين وسيولة الدم؟,ما هي التداخلات الدوائيه الخطيره مع دواء وارفارين وسيوله الدم؟ warfarin indications dosage adverse reactions,warfarin,egypt_blood_disorders_formulary_2025.pdf,68,drug_interactions,ar,40,>50,>50,>5,B: expected chunk missing in BM25 candidates
39,هل اقراص اوميبرازول مناسبة لعلاج قرحة المعدة والحموضة؟,هل اقراص اوميبرازول مناسبه لعلاج قرحه المعده والحموضه؟ omeprazole heartburn acid regurgitation gastro-oesophageal reflux disease Omeprazole Pantoprazole Healsec Controloc Pepzole Omez Gastrazole Protofix OTC OTC approved indication dosage form omeprazole indications,omeprazole,egypt_gastrointestinal_formulary_2025.pdf,74,indications,ar,17,32,25,>5,C: candidate enters pool but RRF ranks too low
40,ما هي خطورة دواء الانسولين كعقار عالي الخطورة؟,ما هي خطوره دواء الانسولين كعقار عالي الخطوره؟ insulin insulin indications dosage adverse reactions,insulin,egypt_high_alert_medications_2025.pdf,11,high_alert,ar,>50,>50,>50,>5,A/B: expected chunk never enters candidates at K=20
41,ليه ممنوع كسر او طحن الاقراص ممتدة المفعول؟,ليه ممنوع كسر او طحن الاقراص ممتده المفعول؟,extended_release,egypt_do_not_crush_medications_2026.pdf,1,do_not_crush,ar,6,>50,11,>5,B: expected chunk missing in BM25 candidates
42,ما هي الجرعة القصوى الآمنة من الباراسيتامول في اليوم؟,ما هي الجرعه القصوي الامنه من الباراسيتامول في اليوم؟ paracetamol paracetamol dosage,paracetamol,egypt_otc_drug_list_2026.pdf,12,dosage,ar,>50,10,20,>5,A: expected chunk missing in Dense candidates
43,ما هي تحذيرات استخدام دواء لازيكس مع وظائف الكلى والاملاح؟,ما هي تحذيرات استخدام دواء لازيكس مع وظائف الكلي والاملاح؟ furosemide contraindications indications,furosemide,egypt_cardiovascular_formulary_2024.pdf,165,adverse_reactions,ar,>50,2,5,>5,A: expected chunk missing in Dense candidates
