question_id,expected_drug,expected_file,expected_page,evidence_found_on_expected_page,evidence_excerpt,audit_status,notes
12,clopidogrel,egypt_cardiovascular_formulary_2024.pdf,119,True,"Egyptian National Formulary -Cardiovascular system Clopidogrel Generic Name Clopidogrel Dosage form/strengths Tablet 75mg, 300mg Route of administration Oral Pharmacologic category Antiplatelet Agent;",VALID,Evidence confirmed on page 119 (2 chunks).
13,ciprofloxacin,egypt_antimicrobial_formulary_2023.pdf,406,True,"Treatment: Note: Duration of therapy is 10 to 14 days. Oral: 500 to 750 mg every 12 hours IV: 400 mg every 8 to 12 hours. Pneumonia, as a component of empiric therapy or pathogen-specific therapy for ",VALID,Evidence confirmed on page 406 (4 chunks).
14,spironolactone,egypt_cardiovascular_formulary_2024.pdf,182,True,"Egyptian National Formulary -Cardiovascular system Cardiovascular: Hypersensitivity angiitis, hypotension (including orthostatic) Dermatologic: Alopecia, skin rash, toxic epidermal necrolysis, urticar",VALID,Evidence confirmed on page 182 (3 chunks).
15,enoxaparin,egypt_high_alert_medications_2025.pdf,7,True,Title: National Egyptian High Alert Medication List Version/Year : 2025 6 High Alert Medication List Low molecular weight heparin Examples Enoxaparin Parenteral: 20 mg/0.2 ml SC 40 mg/0.4 ml SC 60 mg/,VALID,Evidence confirmed on page 7 (2 chunks).
16,bisoprolol,egypt_cardiovascular_formulary_2024.pdf,127,True,"Egyptian National Formulary -Cardiovascular system Bisoprolol Generic Name Bisoprolol Dosage form/strengths Tablet: 2.5mg, 5mg, 10mg Route of administration Oral Pharmacologic category Antihypertensiv",VALID,Evidence confirmed on page 127 (2 chunks).
17,pantoprazole,egypt_gastrointestinal_formulary_2025.pdf,96,True,"Egyptian National Drug Formulary GIT medicines Code: Pantoprazole Generic Name Pantoprazole Dosage Form /Strengths Enteric-coated tablet: 20 mg, 40 mg. Modified release tablets: 20 mg, 40 mg. Powder f",VALID,Evidence confirmed on page 96 (3 chunks).
18,metformin,egypt_endocrine_formulary_2024.pdf,32,True,Egyptian National Formulary -Endocrine system metformin might be continued with close monitoring eGFR <30 mL/minute/1.73 m2: Use is contraindicated. Dosing: Hepatic Impairment: Adult Use with caution ,VALID,Evidence confirmed on page 32 (3 chunks).
19,furosemide,egypt_cardiovascular_formulary_2024.pdf,165,True,Egyptian National Formulary -Cardiovascular system and in infants and children <4 years of age with chronic use. May prevent closure of patent ductus arteriosus in premature infants. • Surgical patien,VALID,Evidence confirmed on page 165 (2 chunks).
20,azithromycin,egypt_antimicrobial_formulary_2023.pdf,290,True,"Macrolide 1. Azithromycin Generic Name Azithromycin Dosage form/strengths 500 mg vial Tablets 500mg, 600mg, 1000mg Capsules 250mg, 500mg Suspension 100mg/5ml, 200mg/5ml, 2000mg/60ml, 2gm ER Eye drops ",VALID,Evidence confirmed on page 290 (3 chunks).
21,ibuprofen,egypt_otc_drug_list_2026.pdf,15,True,"Flabu 400 mg Ibuprofen ( D90 < 30 µm) Film Coated Tablets 400 mg Short term symptomatic treatment of mild to moderate pain, such as headache including migraine headache, dental pain, primary dysmenorr",VALID,Evidence confirmed on page 15 (6 chunks).
22,clarithromycin,egypt_antimicrobial_formulary_2023.pdf,121,True,"There are no specific dosage adjustments available. However, adjustment may be necessary due to extensive hepatic metabolism. Closely monitor patients for hematologic toxicities. Contraindications Pot",VALID,Evidence confirmed on page 121 (3 chunks).
23,atorvastatin,egypt_cardiovascular_formulary_2024.pdf,207,True,"Egyptian National Formulary -Cardiovascular system Atorvastatin Generic Name Atorvastatin Dosage form/strengths Tablets: 10mg, 20mg, 40mg, 80mg Chewable Tablets 10mg, 20mg, 40mg Route of administratio",VALID,Evidence confirmed on page 207 (3 chunks).
24,levofloxacin,egypt_antimicrobial_formulary_2023.pdf,415,True,Dosage adjustment Renal impairment: Adult Usual Daily Dosage for Normal Renal Function (Clcr ≥ 50 mL/min) Clcr (mL/min) Dosage for Renal Impairment 250 mg 20-49 Dosage adjustment not required 10-19 Un,VALID,Evidence confirmed on page 415 (3 chunks).
25,nitroglycerin,egypt_cardiovascular_formulary_2024.pdf,69,True,"Egyptian National Formulary -Cardiovascular system Isosorbide dinitrate Generic Name Isosorbide dinitrate Dosage form/strengths Sublingual Tablet 5mg, 10mg Capsules: 20mg, 40mg Tablet 5mg, 10mg, Table",VALID,Evidence confirmed on page 69 (3 chunks).
26,enteric_coated,egypt_do_not_crush_medications_2026.pdf,3,True,Central Administration of Pharmaceutical Care General Administration of Drug Utilization and Pharmacy Practice Title: Egyptian Don't Crush Medication List Code: EDREX: NDL.CAP.care.005 Version /year: ,VALID,Evidence confirmed on page 3 (2 chunks).
27,captopril,egypt_cardiovascular_formulary_2024.pdf,53,True,"Egyptian National Formulary -Cardiovascular system Captopril Generic Name Captopril Dosage form/strengths Tablets: 25mg, 50mg Oral Solution: 5mg/5ml Route of administration Oral Pharmacologic category",VALID,Evidence confirmed on page 53 (3 chunks).
28,warfarin,egypt_blood_disorders_formulary_2025.pdf,70,True,"Egyptian National Blood disorders Formulary Warfarin Generic Name Warfarin Dosage Form/Strengths Tablet: 1,2,3,5 mg Route of Administration Oral Pharmacologic Category Anticoagulant, Vitamin K Antagon",VALID,Evidence confirmed on page 70 (3 chunks).
29,aspirin,egypt_otc_drug_list_2026.pdf,11,True,"Claritine Loratadine Syrup 1 mg /ml Relieve symptoms associated with allergic rhinitis (for example, hay fever) such as sneezing, rummy or itchy nose and burning or itchy eyes in adults and children o",VALID,Evidence confirmed on page 11 (6 chunks).
30,methotrexate,egypt_conventional_anticancer_formulary_2024.pdf,78,True,Egyptian National Formulary- Conventional Anticancer Drugs Code EDA.DUPP. Formulary.003 • Dosing: Hepatic Impairment: Adult and pediatric ─ Use with caution and consider a reduced dose in patients wit,VALID,Evidence confirmed on page 78 (3 chunks).
31,propranolol,egypt_cardiovascular_formulary_2024.pdf,136,True,"Egyptian National Formulary -Cardiovascular system Dosing: Older Adult Refer to the adult dosage. Consider lower initial doses. Dosing: Pediatric Cardiac Arrhythmias, Thyrotoxicosis, Thyrotoxic crisis",VALID,Evidence confirmed on page 136 (3 chunks).
32,metformin,egypt_endocrine_formulary_2024.pdf,31,True,"Egyptian National Formulary -Endocrine system Metformin Generic Name Metformin Dosage form/strengths Tablets: 500mg, 850mg, 1000mg Oral Solution: 500 mg/5ml Modified Release Tablet: 500mg, 850mg, 1000",VALID,Evidence confirmed on page 31 (3 chunks).
33,sildenafil,egypt_cardiovascular_formulary_2024.pdf,69,True,"Egyptian National Formulary -Cardiovascular system Isosorbide dinitrate Generic Name Isosorbide dinitrate Dosage form/strengths Sublingual Tablet 5mg, 10mg Capsules: 20mg, 40mg Tablet 5mg, 10mg, Table",VALID,Evidence confirmed on page 69 (3 chunks).
34,ciprofloxacin,egypt_antimicrobial_formulary_2023.pdf,406,True,"Treatment: Note: Duration of therapy is 10 to 14 days. Oral: 500 to 750 mg every 12 hours IV: 400 mg every 8 to 12 hours. Pneumonia, as a component of empiric therapy or pathogen-specific therapy for ",VALID,Evidence confirmed on page 406 (4 chunks).
35,dexamethasone,egypt_endocrine_formulary_2024.pdf,153,True,Egyptian National Formulary -Endocrine system Cushingoid features/Cushing syndrome: onset: delayed; may develop within the first 2 months of dexamethasone therapy. GI effects Hyperglycemia: may provok,VALID,Evidence confirmed on page 153 (3 chunks).
36,amoxicillin,egypt_antimicrobial_formulary_2023.pdf,371,True,"Dosing: Hepatic Impairment: There are no dosage adjustments needed. Contraindications Serious hypersensitivity to amoxicillin or to other beta-lactams, or any component of the formulation Adverse Drug",VALID,Evidence confirmed on page 371 (3 chunks).
37,warfarin,egypt_blood_disorders_formulary_2025.pdf,68,True,Egyptian National Blood disorders Formulary transcatheter aortic valve replacement (TAVR). Not studied. Patients with antiphospholipid syndrome. Rivaroxaban is not recommended for patients with a hist,VALID,Evidence confirmed on page 68 (3 chunks).
38,clopidogrel,egypt_cardiovascular_formulary_2024.pdf,119,True,"Egyptian National Formulary -Cardiovascular system Clopidogrel Generic Name Clopidogrel Dosage form/strengths Tablet 75mg, 300mg Route of administration Oral Pharmacologic category Antiplatelet Agent;",VALID,Evidence confirmed on page 119 (2 chunks).
39,omeprazole,egypt_gastrointestinal_formulary_2025.pdf,74,True,"Egyptian National Drug Formulary GIT medicines Code: Proton Pump Inhibitors Esomeprazole Generic Name Esomeprazole Dosage Form/ Strengths • Tablet or gastro-resistant tablet: 20 mg, 40 mg. • Enteric-c",VALID,Evidence confirmed on page 74 (2 chunks).
40,insulin,egypt_high_alert_medications_2025.pdf,11,True,"Title: National Egyptian High Alert Medication List Version/Year : 2025 10 High Alert Medication List 2 Chemotherapeutic agents, excluding hormonal therapy 3 Oral and parenteral chemotherapy (e.g., ca",VALID,Evidence confirmed on page 11 (2 chunks).
41,extended_release,egypt_do_not_crush_medications_2026.pdf,1,True,Central Administration of Pharmaceutical Care General Administration of Drug Utilization and Pharmacy Practice Title: Egyptian Don't Crush Medication List Code: EDREX: NDL.CAP.care.005 Version /year: ,VALID,Evidence confirmed on page 1 (1 chunks).
42,paracetamol,egypt_otc_drug_list_2026.pdf,12,True,Panadol Cold & Flu Day Paracetamol /Caffeine /Phenylephrine Hydrochloride Film Coated Tablets 500 mg /25 mg/5 mg As in insert leaflet in adults and children aged 16 years and over Carton box containin,VALID,Evidence confirmed on page 12 (7 chunks).
43,furosemide,egypt_cardiovascular_formulary_2024.pdf,165,True,Egyptian National Formulary -Cardiovascular system and in infants and children <4 years of age with chronic use. May prevent closure of patent ductus arteriosus in premature infants. • Surgical patien,VALID,Evidence confirmed on page 165 (2 chunks).
44,bisoprolol,egypt_cardiovascular_formulary_2024.pdf,127,True,"Egyptian National Formulary -Cardiovascular system Bisoprolol Generic Name Bisoprolol Dosage form/strengths Tablet: 2.5mg, 5mg, 10mg Route of administration Oral Pharmacologic category Antihypertensiv",VALID,Evidence confirmed on page 127 (2 chunks).
45,ibuprofen,egypt_otc_drug_list_2026.pdf,15,True,"Flabu 400 mg Ibuprofen ( D90 < 30 µm) Film Coated Tablets 400 mg Short term symptomatic treatment of mild to moderate pain, such as headache including migraine headache, dental pain, primary dysmenorr",VALID,Evidence confirmed on page 15 (6 chunks).
